Unnamed: 0,name,img_url,golden_img_url,type,have_normal,have_golden,is_cropped,skip
0,Golemagg,https://media.hearthpwn.com/avatars/408/434/14711.png,https://media.hearthpwn.com/avatars/408/436/14711.gif,Minion,True,True,True,False
1,"Shirvallah, the Tiger",https://media.hearthpwn.com/avatars/420/149/90145.png,https://media.hearthpwn.com/avatars/420/151/90145.gif,Minion,True,True,True,False
2,Molten Giant,https://media.hearthpwn.com/avatars/412/394/94.png,https://media.hearthpwn.com/avatars/412/396/94.gif,Minion,True,True,True,False
3,Mur-nado,https://media.hearthpwn.com/avatars/424/344/92630.png,https://media.hearthpwn.com/avatars/424/345/92630.gif,Hero Power,True,True,True,False
4,Timebound Giant,https://media.hearthpwn.com/avatars/419/927/89780.png,https://media.hearthpwn.com/avatars/419/929/89780.gif,Minion,True,True,True,False
5,Book of the Dead,https://media.hearthpwn.com/avatars/423/882/92299.png,https://media.hearthpwn.com/avatars/423/883/92299.gif,Ability,True,True,True,False
6,Arcane Giant,https://media.hearthpwn.com/avatars/426/639/42049.png,https://media.hearthpwn.com/avatars/426/641/42049.gif,Minion,True,True,True,False
7,Clockwork Giant,https://media.hearthpwn.com/avatars/414/530/12201.png,https://media.hearthpwn.com/avatars/414/532/12201.gif,Minion,True,True,True,False
8,Grave Horror,https://media.hearthpwn.com/avatars/420/323/90186.png,https://media.hearthpwn.com/avatars/420/325/90186.gif,Minion,True,True,True,False
9,Mountain Giant,https://media.hearthpwn.com/avatars/411/731/264.png,https://media.hearthpwn.com/avatars/411/733/264.gif,Minion,True,True,True,False
10,Nether Portal,https://media.hearthpwn.com/avatars/421/826/55460.png,https://media.hearthpwn.com/avatars/421/828/55460.gif,Minion,True,True,True,False
11,Red Portal,https://media.hearthpwn.com/avatars/423/302/42151.png,https://media.hearthpwn.com/avatars/423/303/42151.gif,Minion,True,True,True,False
12,"Sherazin, Seed",https://media.hearthpwn.com/avatars/421/625/55458.png,https://media.hearthpwn.com/avatars/421/627/55458.gif,Minion,True,True,True,False
